spa|pbb
llorar (por la mamá) (v.i)|pshiindy-
burlar (imitando) (v.t)|pshi'nd-
sombra (f)|pshu
sombrear (v.t)|pshũ'jũ'-
causar sombra (v.t)|pshũ'ju-, caapshũ'j u'j-
malgastar (v.t)|psuw-
contaminación (f)|pta'nz
mugre (f)|pta'nz
contaminar (v.t)|pta'nza'j-
anunciar (v.t)|pta'sh-
informar (v.t)|pta'sh-
señalar (v.t)|pta'sh-, vijya-
avisar (v.t)|pta'sh-, yuwe pta'sh-, pta'shi'sh-
anuncio (m)|pta'shni
estrecho (adj)|pteenz
apretarse (v.i)|pteenzũu-
tijeras (f.pl)|ptenzũu
hacer daño a una persona (v.t)|ptjãawe-
apretar (v.t)|ptjuc-
sonar (v.i)|ptjũuse-
acabarse (v.i )|ptsu-
abuelo o abuela con nieto o nieta|ptsun
tía con sobrino o sobrina|ptsuuts
eterno (adj)|ptsuwa'jsamẽe
cruzarse en el camino (v.t)|ptyijnde-
quitar tiempo (v.t)|ptyinde-
bifurcarse (v.i)|ptyute-
mostacilla (f)|puca
lado (adv)|puca-
cachete (m)|pucacuet
mejilla (f)|pucacuet
a un lado de|pucate
al lado de (adv)|pucate, pucasu, ju'ng
ayudar (v.t)|pu'chj-, (rep) pu'chji'ch-
colaborar (v.t)|pu'chj-, pu'chji'ch-
ayuda (f)|pu'chni
ayudante (m)|pu'chsa
cuesta (f)|pucy
pendiente (subida) (adj)|pucy
subida (f)|pucy
cuesta abajo|pucycjẽ
cuesta arriba|pucyte
pelear (v.i)|puii-
pleitista (m,f)|puii-jypacuesa (lit. busca-pelear)
pleito (m)|puiini
pelea (f)|puīini
peleador (m)|puiisã
argumentar (v.t)|puiiwe'we-
arrojar (v.t)|pujmb-
ofrendar (al arco) (v.t)|pujnde-
llevar terciado|pujnza-
terciar (v.t)|pujnza-, jypunza-
encontrarse con otro que viene de rumbo opuesto y pasar|pu'jycjẽw-
tamal (m)|pullu
cavar cámara lateral para enterrar (v.t)|pumba'j-
cámara lateral para enterrar (f)|pumba'jni
tender (v.t)|pume-, pus-, tende-
hilar (v.t)|pund-
lezna (f)|pundúu
vómito (m)|punga
vomitar (v.t)|punga-, (rep) punga'nga-
esquina (f)|punza
sobaco (axila) (m)|punza cafy
dar sombra (v.t)|pu'nze'j-
servir como padrinos (v.t)|pu'nze'j-(lit. dar sombra)
unir (v.t)|pũpy-, yuutya-
alzar (a otro con la mano) (v.t)|pu'quis-, (rep) pu'quisu's-
plantarse (v.r)|pu'quitj-
apoyarse (v.r)|pu'quitjẽe-
fermentado (adj)|pus
agriarse (v.i)|pus-
esparcir (v.t)|pũsh-
regar (v.t)|pũsh-, pujmb-, (rep) pumbuumbu-
tendido (p.p)|pusni
fermentar (v.i)|pusúu-
oler (v.i)|putãa-
olor (m)|putasã
golpear (en la puerta) (v.t)|pu'tata-
hierbabuena (f)|putatyjã'
soplar (v.t)|putj-, (rep) putja’tja-
encontrar (a otra persona, que viene del rumbo opuesto) (v.t)|pu'tjeng
orilla (f)|puts
al borde de (adv)|puts-
borde, al borde de (m)|putste
alfiler (m)|putsu
gancho (para asegurar blusa) (m)|putsu
pobre (adj)|puuple
empobrecerse (v.i)|puuple yuu-
emprender (v.t)|puuquiwe-
aventajar (v.t)|puutejca-
dar de comer (v.t)|puuts-, (rep) puutsuts-, sãjī
alimentar (v.t)|puuts-, sã'ji-
recíprocamente (adv)|puuty
chocar con (v.i)|puuty ijca-
cara a cara|puuty pdyi'p
pelear (mutuamente)|puuty puii-
rabiarse (mutuamente)|puuty pyũuscue-
despedirse (v.r)|puuty tyutẽe-
enojarse (mutuamente)|puuty ũuscha-
encontrarse (v.r)|puuty uy-
ponerse de acuerdo (v.r)|puuty we'we
acordar (v.t)|puuty we'we-
conversar (v.i)|puuty we'we-
platicar (v.i)|puuty we'we-
plática (f)|puuty we'weni
odiar mutuamente|puuty yaatse-
amarse mutuamente (v.t)|puuty ya'peeygãj-
perdonar (mutuamente)|puuty ya'peltunaī-
servir mutuamente|puuty ya'selpii-
vender (unos a otros) (v.recip)|puuty ya'tywey-
apañar (v.t)|pu'uwe-
perder de vista (v.t)|pu'vitu-
comilón (adj)|pũ'we
glotón (m)|pũ'we, ũ'shic
reemplazar (en su cargo) (v.t)|pu'yacj-
reemplazo (m)|pu'yacjsa
cobertizo (m)|pwa'
jugar (v.t)|pweesa'j-
mafafa (planta) (f)|pwel, ã'sh
hermana con hermana|pyacj
hermano con hermano|pyacj
aborrecer (aversión a la comida) (v.t)|pyaj tse-
mitad (f)|pyãjn, puuvyãjn
centro, en el centro de (adv)|pyãjte
dar asco (v.t)|pyajtse-
desagradar (v.t)|pyajtse-
por la mitad|pyãjũy
sufrir dolor (v.t)|pytjaa pang-, aca cnay-
sentir pesar (v.t)|pytjaa yajcy-
sufrir (v.t)|pytjaa yuu-, pa'ga yuu-
dar rabia (v.r)|pyũuscue-
rabiarse (v.i)|pyũuscue-
rencor, resentimiento (m)|pyũuscue yaacyni
agitar (v.t)|quẽese'j-
mover (v.t)|quẽese'j-
dar hipo (v.t)|que'shi'j-
resucitar (v.t)|qui' ītyī vit-
resucitar (v.i)|qui' ītyī yuu-
causar agriera (v.t)|quichja'j-
hacer golpear (v.t)|quiica'j-
mandar matar (v.t)|quiicje'j-
alzar (v.t)|quiis-
levantar (v.t)|quiis-
hacer medir (v.t.)|quiisa'j
hacer contar (v.t)|quiisa'j-
hacer probar (v.t)|quiisa'j-
levantarse (v.r)|quiitẽe-
vertical (adj)|quiitj
inclinar (la cabeza) (v.r)|quīitsju-
dejar escapar (v.t)|quiiyu'j-
que, ¿qué? (pron)|quīj
bajar (desde arriba) (v.i)|quīj-
descender (v.i)|quīj-
nada (pron.indef)|quīj yujva
algo (pron)|quījva
sobra (f)|quijya, pe'ya
sobrar (v.i)|quijyãa-
residuo (m)|quijyasã, neeyũusã
quien, ¿quién? (pron)|quim
nadie (pron.indef)|quīm yujva
nigua (f)|quima
hacer señas (v.t)|quimbe'je'j-
quienquiera (pron)|quimva, maava
caída de agua (f)|qui'na
chorro (m)|qui'na
salto de agua (m)|qui'na, qui'na wala
peine (m)|quind
peinar (v.t)|quind-
fruncir las cejas (v.t)|quindqui'cj-
nombrar (a un puesto) (v.t)|qui'p-
poner (v.t)|qui'p-
otra vez (adv)|qui'quin, qui'
quitar (mover de su lugar) (v.t)|quis-
guardar dieta, o día de fiesta (v.t)|qui's-
domingo (m)|qui'sen
cachorro (m)|quishcue
consolarse (v.r)|quishi-, puuty ya'cviisha'j
mitad de semana|qui'spyãj
miércoles (m)|qui'spyãj (lit. mitad de semana) (f)
queso (m)|quisu
semana (f)|qui'su
semanalmente|qui'sute
macana (parte del telar) (f)|quita
flor (f)|quite
jardín (m)|quite ej
florecer (v.i)|quitẽe-
clavar (estaca) (v.t)|quitj-
diente (m)|qui'tj
maní (m)|quītj
hacer extraer muela (v.t)|qui'tj caacutyi'j
extraer (muela) (v.t)|qui'tj cutyi'j-
sembrado de maní|quītj ej
sembrado de maní (m)|quītj ej
muela (f)|qui'tj wala
inclinarse (humillado) (v.r)|quitje-
cabecear (con sueño)|quitje'tje-
crujir los dientes (v.t)|qui'tjtyi csuusu'j-
quebrada (f)|quits
agacharse (v.r)|quityáa-, (rep) quitya'tya-
caer una gotera (v.i)|quityj i'tyji-
echar gotas (v.t)|quityji-
poner gotas (v.t)|quityji'tyji-
suelo (m)|quiwe
terreno (m)|quiwe
tierra (f)|quiwe
pecarí (m)|quiwe cuchi
terrón (m)|quiwe cuet
temblar (tierra) (v.i)|quiwe ẽse-
haber temblor (v.impers)|quiwe ẽse-, ejnd u'j-
mundo (m)|quiwe jyuca
olla de barro|quiwe mityj
cobertizo (de tierra)|quiwe pwa'
hueco (m)|quiwe pwa'
polvo (del camino)|quiwe tujnd
torcaz (m)|quiwe tumb, yu'cj tumb
apellido (m)|quiwe yase
asunto de terreno|quiwe yuwe
asunto de terrenos|quiwe yuwe
centella (planta) (f)|quiwendawa
chorrear (caída de agua) (v.i)|qul'na-
respetar (v.t)|respetaī-
solo (adj)|-rrãa
solamente, sólo (adv)|-rrãa,-rrarrãa
aunque (conj.advers)|-rrava,-teva
y (conj)|sa‘, atsa'
caerse (v.r)|saapajcy-
zarco (ojos verdes) (adj)|saatill
palo del telar (sostiene el ñuwe) (m)|sacue
desmontar (v.i)|sa'j-, jysa'j-
bajarse (v.r)|sa'j-, jysa'j-, iisa'j-
sacudir (v.t)|sajcue-, (rep) sacueecue-
sacristán (m)|sangistan
sapo (m)|sap
rana (f)|sap le'chcue
sábado (m)|sápatu
guala (ave) (f)|sapete
cacique indígena (m)|sa't
cucaracha (f)|sa'te
atizar (la candela) (v.t)|scatyjī'j-, peescatyjīj-
pasajero (adj)|scjẽwsa, scjẽwwa'jsa
escoba (f)|scuba
escuela (f)|scuela
mudar la piel (culebra) (v.i)|scuupy-
trigo (m)|scuutyj
trigal (m)|scuutyj ej
restregar (v.t)|scuutyj shũsh-
este (oriente) (m)|sec cãani
oriente, este (m)|sec cãani
salir el sol (v.i)|sec cãj-
salida del sol (f)|sec cãjatste
occidente, oeste (m)|sec cjẽeni
poniente (m)|sec cjẽeni
ocultarse (el sol)|sec cjẽj-
ponerse el sol (v.r)|sec cjẽj-
puesto del sol (m)|sec cjẽjetste
haber eclipse de sol (v.impers)|sec uu-, sec shi'ndy-
sol (m)|sec, tacycue (J)
hacer sol (v.i)|secũu
hacer verano (v.i)|secũu-, ejnz yuu-
inútil (adj)|seelpimeesa
útil (adj)|seelpisa
terrible (adv)|seena'
muchísimo|seena' wala
bajar (v.i)|sẽj-
fingir (v.t)|se'j- (sẽ'j-)
barbasco (m)|sẽ'j , cwẽesẽ'j
pasar hacia abajo|sejẽw-
laurel de cera (árbol) (m)|sela
ser ti' (v.i)|selpīi-
servir (v.t)|selpīi-
siervo (m)|selpisã
plegar (v.t)|sembu'j-
flauta (de palos verticales)|sende cuvy, tsjende cuvy
enfilarse (v.i)|sende'nde-
mezquinar (rehusar dar) (v.i)|sendy-
volverse mezquino (v.i)|sendy yuu-
sebo (m)|sepu
cedro (m)|setlu
insertar (v.t)|se'w-
templar (v.t)|sgajnde-, (rep) spandende-
calambre (m)|shãacãj
dar calambre (v.i)|shãacãj u'j-
bromear (v.i)|shaacue we'we-, pjay we'we-
apodo (m)|shaacue yase
abonar (echar abono a la tierra) (v.t)|shaacue'j-
abono (m)|shacue
lama (planta acuática) (f)|sha'cy, cha'cy, yu'sha'cy
teñidero (árbol) (m)|shal
seca (infarto de una glándula) (f)|sha'lul
ombligo (m)|shamb
ciudad (f)|shamb wala, chjamb wala
cordón umbilical (m)|shamb wes
caserío (m)|shamb, chjamb
pueblo (m)|shamb, chjamb
poblado (m)|shamb, chjamb, chjambcuẽ
congregarse (v.i)|shambũu-
tusilla (planta) (f)|shande
caracol (m)|shape
desgajar (v.t)|shapijnde- (shpijnde-), (rep) shpindende-
echar ranas (v.i)|shã'py-
tener vástago (v.i)|shã'py-
horqueta (f)|shã'py, chjã'py
maguey (planta) (m)|sha'sh tu‘j
tallo de flor de cabuya (m)|shã'shtu'j
despedazarse (v.i)|shate-
fallecer uno de la familia (v.i) (fig)|shatẽe-
quemarse (v.r)|shavy- (chjavy-)
lombriz (f)|shã'wẽ
vermífugo (m)|shã'wẽ yu'tse
volver (v.i)|shawend-
regresar (v.i)|shawend-, (rep) shawendu'ndu-
carne espumosa|shba'mb
uvillo (planta) (m)|shbu
fracturar (v.t)|shcajnde- (chcajnde-), (rep) shcandende- (chcandende-)
fracturar (v.t)|shcate- (chcate-), (rep) shcate'te-
cardo (m)|shic
áspero (adj)|shic, shictjẽ'j
risa (f)|shicani
erizarse (v.r)|shiina' yuu-
sentir incapaz (v.i)|shiing-
confiadamente (adv)|shiingmẽe
león (m)|shī'j
reír (v.r)|shijca-, (rep) shicaaca-
maíz tierno (m)|shimb
tallo de maíz (m)|shimb dyi'tj
maizal (nacido)|shimb ej
imitar (v.t)|shi'nd-
remedar (v.t)|shi'nd-
erizar (v.t)|shinde-, (rep) shinde'nde-
anochecer (v.i)|shi'ndy- (chji'ndy-)
obscurecer (v.t)|shi'ndy- (chji'ndy-), nuychji'ndy-
obscuridad (f)|shi'ndy wala, chji'ndy wala
llorón (m)|shindy, chjindy
abeja (f)|shi'ndy, chji'ndy
obscuro (adj)|shi'ndy, chji'ndy
tinieblas (f.pl)|shi'ndy, chji'ndy
ser llorón (v.i)|shindyīi-
grieta (f)|shish
rendija (f)|shish
rajarse (v.r)|shish-, (rep) shishi'shi-
armadillo (m)|shita
humear (v.i)|shi'ta-
bramar (v.i)|shitãa-
eslabón (m)|shlaapũn
granadino (m)|shlala
pinto (adj)|shlala
baba (f)|shna'na
pisco (ave) (m)|shpiipī
desgajarse (v.r)|shpite-
chlcao (ave amarilla) (m)|shquiicy
añadir (v.t)|shquitya- (chquitya-)
simple (comida sin sal ni azúcar) (adj)|shũ
molleja (f)|shũcy
ardilla (f)|shuma
volverse pardo (v.i)|shumãa-
cosechar (maíz)|shunde-
choclo cocido (m)|shũpy
fregar (v.t)|shũsh-
frotar (v.t)|shũsh-
ungir (v.t)|shũsh-
crespo (adj)|shũ'sh
arrugar (v.t)|shũ'sh-
desgarrarse (v.i)|shũ'tete-, shũ'wete-
desabrido (adj)|shũu
soso (adj)|shũu
mazamorra sin dulce|shũu cjash
perder sabor (v.i)|shũucãj-
piedra (de afilar)|shũucuet
yerba medicinal (f)|shũulape, shuulepja, shũuwa'c, shũuwe'tj, shũuyu'tscavy
silencio! (interj)|shuuna' me'p!
estar callado (v.i)|shuuna' ũs-, shuuna' u'p-
guardar silencio (v.t)|shuuna' ũs-, shuuna' yuu-
callar (v.t)|shuuna' vit-
hacer callar (v.t)|shuuna' vit-, shuuna' nvijt-
callarse (v.r)|shuuna' yuu-
callado (p.p)|shuuna', viina'
desgarrar (v.t)|shũ'wende-, shũ'tende-
escancel (planta medicinal) (f)|shũwe'tj
cidrayota (planta) (f)|shwa'
menear (v.t)|shwendũu-, (rep) shwendu'ndu-
ulluco (m)|shwi'la
siete (adj)|siete
carrizo (m)|silli
cinchar (v.t)|sinzha-
señorita (de raza blanca) (f)|siyula cna'sa
señora (de raza blanca) (f)|siyula, u'sha
resbalar (v.i)|sla'tyi-, syu'tje-
sereno (m)|slenu
carrizo de guadua|sllimum
chlguaco (ave) (m)|slluj
zurrón (m)|slun
maraca (f)|smacja, sñuñu
zamarro (m)|smala
mariposa (f)|smejme, tsmejme
paraje de mariposas|smeme quits
sonar (ruido de cascabel) (v.i)|snda'nda-, sndaanda-
transparente (adj)|snene, sneene
cicatriz (f)|sñal
marcar (v.t)|sñal qui'p-
salir mazorcas (v.i)|sñula-
sol dado (m)|soldau
descargar (v.t)|spãash-
zapato (m)|spaatu
descalzo (adj)|spaatu ji'pjmẽe
bajar (v.t)|spajcy-
descargar (v.t)|spajcy-
templado (freno) (p.p)|spajndspajnde
esponjarse (v.r)|spãpã
encogerse (v.r)|spate-
encogido (p.p)|spat-spate
mirar a lo lejos (v.t)|spay-
espejo (m)|speeju
cortar (v.t)|spẽ'tj-, (rep) spẽ'tje'tj-
pegajoso (adj)|spiina'
brea (f)|spiina'sa
despajar (v.t)|spjamb-
cebolla (f)|spulla
torcer (v.t)|spund-, tspund-
mirar (hacia abajo) (v.t)|squii-, (rep) squiiyu'yu-
verter (v.t)|squijw-
calabazo (para guarapo)|squijw tuca
estera (f)|stela, mastela (T)
rasgar (v.t)|stende-, (rep) stendende-
manso (adj)|styãanisa, maasu
acostumbrarse (v.r)|styaj-
amañarse (v.r)|styãj-
por (a través) (prep)|-su
sobar (componer un hueso dislocado) (v.t)|sũcj-, (rep) sũcja'cja'
echar suertes (v.t)|suerte caaj-
creer (suponer) (v.t)|sũj-
suponer (v.t)|sũj-
anillo (m)|sultyjica
sortija (f)|sultyjica
zorro (m)|sulu
gotear (v.i)|sund (tsund-), quityji-
romper (v.t)|sunde-, (rep) sundeende-, sunde'nde-
rasgar (v.t)|sunde-, (rep) sundende-
desnudo (adj)|sũpy
desnudarse (v.r)|sũpy-
pelado (adj)|sũpy, tupy
duro (adv)|sus
recio (adv)|sus
orina (f)|su's
leer en voz alta|sus lẽei-
en voz alta|sus we'we-
cuchichear (v.i)|susmẽe we'we-
en voz baja|susmẽe we'we-
hablar en voz baja|susmẽe we'we-
murmurar (v.i)|susmẽe we'we-, we'wewe-
ruido (m)|susni
vejiga (f)|su'stu'j
sonar (v.i)|susu-
orinar (v.i)|su'su-
chorrear (v.i)|susũu-
reventar (v.i)|sute-, (rep) sute'te-
romperse (v.i)|sute-, (rep) sute'te-
roto (p.p)|suteni
esconder (v.t)|sũtj-
rayar (v.t)|suty- (sũty-)
azúcar (f)|suucal
desnudar (v.t)|sũupi'j-
desvestir (v.t)|sũupi'j-, tũupi'j-
dañar (v.t)|suw-
destruir (v.t)|suw-, pemba-
dañarse (v.r)|suwẽe-
descomponerse (v.r)|suwẽe-
agujerear (v.t)|swejnde-
taladrar (v.t)|swejnde-
perforar (v.t)|swejnde-, (rep) swendende-
patear (v.t)|swẽtj-
poner marca (v.t)|syaalu'j-
disfrazar (v.t)|taachin yuu-
renacuajo (m)|taacy wendy
ánima (espíritu de difunto) (f)|taafiy
espíritu de difunto (m)|taafiy
neblina (f)|tãapj
nube (f)|tãapj
anublarse (v.r)|tãapjũu-
nublarse (v.t)|tãapjũu-
comenzar (v.t)|tacj-, pũ'tyj-
empezar (v.t)|tacj-, pũ'tyj-
animal domesticado|tajcy
a menudo (adv)|tajta, tajtatey
cinco (adj)|tajts
quinto (adj)|tajtstewe'sh
delgado (adj)|tall (persona), zunz, zunzcuẽ (cosa)
flaco (adj)|tall, īchj
enflaquecerse (v.r)|talli-, īchj-
bulto (m)|tamby
costado (m)|tamby
costilla (f)|tamby
cucarrón (insecto) (m)|ta'nda
escarabajo (m)|ta'nda
dar vuelta (a una cosa) (v.t)|tandy-
redondo (adj)|tandy, jyand
girar (v.i)|tandyīi-
rodar (v.i)|tandyīi-
curva (vuelta, recodo) (f)|ta'ngu
vuelta (recodo del canino) (f)|ta'ngu
sentir 'señas' (brujo) (v.t)|ta'ñi-, jyta'ñi-, pil ẽse-
ancho (adj)|tape
tabla (f)|tapla
criar (animales) (v.t)|taqui'j-
paloma domesticada|taqui'ni tumb
domesticado (p.p)|taqui'nisa
taza (f)|tasa
mata (f)|tash
calcañar (m)|tãsh
tronco (de árbol) (m)|tã'sh
delante de (adv)|tashte
abajo (adv)|tashu, cjẽcjenaaju
papá (m)|tata
abuelo (m)|tata wala, papa luí, niish, īishi
padres (padre y madre) (m.pl)|tatawe'sh
torcido (p.p)|ta'ts
torcerse (v.r)|ta'ts-
torcer, ponerse torcido (v.t)|ta'tsu'j-
arco (m)|taty
ataúd (m)|taul
chumbe (m)|taw
faja (f)|taw
telar (para tejer chumbe)|taw tel
desfiladero (m)|tcafy
pacunga (planta) (f)|tcu'nz
en (prep)|-te,-ca,-ga
lamer (v.t)|tech-
tres (adj)|tecj
tres veces|tecj us
teja (f)|tecja
tercero (adj)|tecjtewe'sh
directamente (adv)|tee jwend
uno (adj)|teech
en un lugar|teech ajte
uno por uno|teech teech
poco (adj)|teechcue, cujmẽe
enfermedad contagiosa|teega wee
poner en el cepo o horqueta (v.t)|teelu'j-
dar volteretas (v.i)|teepjute-
seis (adj)|teesacy
ascender (v.i)|tejca-
trepar (v.i)|tejca-
subir (v.i)|tejca-, iitejca-, iictejca-
cepo (m)|tel
ponerse de pie (v.i)|tishi-, yuju-
sobrar (v.i)|tjaacue-
más (adv)|tjaacue, jytjaacue
deseo (m)|tjãasnl, jytjãasni
grave (adj)|tjacue
peor (adj)|tjacue
ponerse grave (v.i)|tjacuee-
cerro (m)|tjã'j
cumbre (f)|tja'j vits, vits wala
coronilla (f)|tjã'mbush
avergonzarse (v.r)|tjame-
tener vergüenza (v.i)|tjame-
vergonzoso (adj)|tjame yuj , tjaampa', paytjame'
penoso (adj)|tjamejy
pedir (v.t)|tjãs-, pẽjy-, pe'w-
roncar (v.i)|tjã'tja-
calabacita (f)|tjee
durar (v.i)|tjẽeyũu-
anciano (m)|tjẽ'j
jecho (maduro) (adj)|tjẽ'j
viejo (m,f)|tjẽ'j, tjẽ'cjuẽ
adulto (m,f)|tjẽ'jsa
mayor (que tiene más edad) (adj)|tjẽ'jsa, ntjẽ'jsa
mayores (superiores) (m.pl)|tjẽ'jsawe'sh
cuidar (v.t)|tjeng-
mirar (v.t)|tjeng-, (rep) tjengu'ngu-
lavar (ropa) (v.t)|tjetj-
apisonar (v.t)|tjetjẽe
difícil (adj)|tjẽy
fácil (adj)|tjẽymẽe
dificultad (f)|tjẽysa
tener dificultades (v.i)|tjẽyte ñuste fi'nze-
estar ocupado (v.i)|tjẽyte ũs-, tjẽyte u'p-
ocupado, estar ocupado (v.i)|tjẽyte ũs-, tjẽyte ũ'p-
estar desocupado (v.i)|tjeytemẽe ũs-, tjẽytemẽe u'p-
estrangular (v.t)|tjuc-
ladear (torcer hacia un lado) (v.i)|tjuja-, (rep) tjuja'ja-
estar desnivelado (v.i)|tjujarra ũs-
lengua (f)|tjune
chamiza (f)|tjuse
tupido (adj)|tjutj
ponerse tupido (v.i)|tjutjũu-
erizo, puerco espín (m)|tjuw
oreja (f)|tjũ'we
oído (m)|tjũ'wẽ cafy
cerumen (cerilla de los oídos) (f)|tjũ'wẽ chica
sordo (adj)|tjũwẽ much, much
arete (m)|tjũ'wẽ ya'qui
parar las orejas (v.i)|tjũ'wẽ's catj tyaj-
alchucha (planta) (f)|tmbi'ch
rollo (m)|tpand
arremangar (v.t)|tpand-
arrollar(v.t)|tpand-
doblar (v.t)|tpejng-
volver claro, aclarar (líquido) (v.i)|tsalli-
gavilán (m)|tsalli'll
hierro (m)|tsam
metal (m)|tsam
herrero (m)|tsam tut-sa
malla (de alambre)|tsam ucje
alambre (m)|tsam wes
color claro (adj)|tsejctsejc
planchudo (adj)|tsep
azul (adj)|tsẽy
verde (adj)|tsẽy
azul claro|tsẽytsẽy chijme
espalda (f)|tsinz
espina dorsal (f)|tsinz dyi'tj
columna vertebral (f)|tsinz zec
de espaldas|tsinzuj
mora (f)|tsiun
zarzamora (f)|tsiun
extender los brazos (v.t)|tsja'ya-
atar palos verticales (v.t)|tsjende-
empajar (v.t)|tsjīts um-
paja (f)|tsjītsj
cabo (de la paja) (m)|tsjītsj menz (lit. cola de la paja)
choza (f)|tsjītsj yat
espina (f)|tsjũtsj
retiñir (v.i)|tsñiñi-
gotera (f)|tsund
ciruela silvestre (f)|tsunde
martingalvis (árbol) (m)|tsundefy
sapo pequeño (m)|tsunz
choclo (m)|tsut
dar fruto (trigo, maíz)|tsut-
maizal (en choclo)|tsut ej
tamal de choclo|tsut pullu
trenza de cabuya (para cargar leña)|tsũ'ta
encenillo (árbol) (m)|tsute
columpiar (v.t)|tsuvy-
hinchazón (f)|tsu'vy
hincharse (v.r)|tsu'vy-
dormilón (ave nocturna) (m)|tsũvy
hidropesía (f)|tsu'vy wee
retorcer (v.t)|tswend-, (rep) tswendu'ndu-
voltear la cabeza (v.t)|tswendu'ndu-
opacar (v. i)|tu' vi-
inflamarse (v.i)|tu'c-
calabazo (m)|tuca
totuma (f)|tuca
tocar (la puerta) (v.t)|tu'ca-, (rep) tu'caca-, tucaaca-. pu'tata-
cuchara (f)|tucha'cy, cha'cy
gemir (v.i)|tũchj-, (rep) tũchji'chji-
pujar (v.t)|tũchjãa-, (rep) tũchji'chji-
pus (m)|tucj
supurar (v.i)|tucjãa-
en voz entrecortada|tu'ctu'c we'we-
torcaz pequeño (m)|tucũ, chī'ch
eructar  (v. i)|tu'fy-
poporo (m)|tu'j, cuetand tu'j
tocar (un instrumento) (v.t)|tujca-
gris (adj)|tujme, tsẽytsẽy tujme, tujmetujme
pardo (adj)|tujme, tũjme, cjũchcjũchdyi'
en seco|tujmete
cesar (calcarse el viento) (v.i)|tujnd-
despacio (adv)|tujnd, tujndtujnd
poco a poco (adv)|tujndtujnd
toro (m)|tulu
cercar (hortaliza) (v.t)|tulu'j-
paloma (f)|tumb
pichón (ave) (m)|tumb luuch
malla (para coger pájaros)|tumb ucje
atado (m)|tund
ligero (adj)|tund
manojo (m)|tund
atar (v.t)|tund-
amarrar (v.t)|tund-, (rep) tundund-
rápido (adj)|tund, dund
rato (adv)|tundte
apurarse (v.r)|tundũu-
tomar (beber) (v.t)|tundy-
beber (v.t)|tundy- (tungy-)
encorvado (adj)|tuñ
encorvarse (v.r)|tuñi-
araña (f)|tupa
telaraña (f)|tupapwejy
ciempiés (m)|tũpil, ultũpy
raspar (v.t)|tupinde-, dyindy-
hacerse mataduras (v.i)|tupite-
húmedo (adj)|tupj , le'le
humedecer (v.t)|tupjãa-
revés (m)|tupy
ladear (v.t)|tupy-
pelar (v.t)|tupy-
voltear (v.t)|tupy-
toromonte (ave) (m)|turuc, buruc
acarrear (v.t)|tu's-
cargar (v.t)|tu's- (tũ's-)
llevar (carga) (v.t)|tu's-, tũ's-
embotado (p.p)|tut
puño (m)|tut
embotar (v.t)|tut-
picar (cortar a pedacitos) (v.t)|tut-
mugido (m)|tũt
tuétano (m)|tuta'
levantar fama, crear fama (v.t)|tutje-
chamón (ave) (m)|tũts
muela del juicio (f)|tũtsa, tsute wala
canturrear (v.i)|tutu'tu-
roer (v.t)|tutũu-
mugir (vaca) (v.i)|tũtũu-, pembẽe-
barriga (f)|tuty
estómago (m)|tuty
panza (f)|tuty
partear (v.t)|tuty jya'ndy-
partera (f)|tuty jya'ndysa, nasa spaacysa
abdomen (m)|tuty letya
vientre (m)|tutyj, tutyj dyiite
matriz (f)|tutyte nasa u'pni
emborracharse (v.r)|tuu-
borrachera (f)|tũu
limpiar maleza (v.t)|tũupi'j-
remojar (v.t)|tuupja'j-
borracho (adj)|tũusã
tomado (ebrio, borracho) (adj)|tũusã
alabar (v.t)|tuutje'j-
honrar (v.t)|tuutje'j-
fama (f)|tuutje'jni
corto  (adj)|tuw
enrazada (animal) (adj)|tuya
preñada (adj)|tuya
cafeto (árbol) (m)|twaatsec
trozar (v.t)|twajca-, (rep) twaaca'ca-
charlar (v.t)|twẽeji-
consigo|tyaa, yacj, cyaa, yacj
ellos, ellas (pron.pers.pl)|tyãawe'sh
su, sus (de ellos, ellas)|tyãawe'sh, cyãawe'sh
llano (m)|tyac
hace mucho tiempo|tyach
hace tiempo (adv)|tyach
hace poco (adv)|tyachmẽe
hace poco tiempo|tyachmẽe
viejo (no reciente) (adj)|tyachwe'sh
tamaño (m)|tyacjuey
tanto, tan (adv)|tyacue, nacue
construir (v.t.)|tyaj-
poner (edificar) (v.t)|tyaj-
entonces (adv)|tyajũ', cyajũ'
su, sus (de él, ella) (pron.pos)|tyajy, cyajy
tanto (pron)|tyanzue, manzcue
asimismo (adv)|tyã'wẽy, cyã'wẽy
hartarse (v.r)|tyic-
saciar (v.t)|tyic-
tigrillo (m)|tyiclli, atall ech
hacer barro (v.t)|tyiityi'j-
barro (m)|tyity
embarrar (v.t)|tyity ambu-
ciénaga (f)|tyity wala
pantano (m)|tyity wala
col (f)|tyjã'
repollo (m)|tyjã'
viernes (m)|tyjẽ'en
cuello (m)|tyjicj
pescuezo (m)|tyjicj
nuca (f)|tyjicj dyi'tj, tyjicj shbimby
nuez de la garganta (f)|tyjicj luí, pẽty luí, pẽty luwa
agrio (adj)|tyji'mb
arrayán (m)|tyjīte
grueso (pelo) (adj)|tyjityj
escoger (v.t)|tyjityj-
escogido (adj)|tyjityjnisa
lodo (m)|tylty, tyity le'le
tusa (de aaíz) (f)|tymi, tywī
gorrión (ave) (m)|tyuj
apartar (v.t)|tyujnde-
dividir (v.t)|tyujnde-
